App_Title,Rating,User_Rating,Update,Size,Installs,Version,Required Android,Category
"Hit Break Bricks Out-Slide Control,Precise Destroy",4.8,864,12/27/2019,9500000,1000,1.1,4.2 and up,Puzzle
Connect: cute monsters and food. Free casual game,4.4,100,04-12-2020,6400000,10000,v1.3.47,4.1 and up,Casual
Casual Dating - Free Dating,2.7,7,8/30/2019,5300000,1000,1,4.1 and up,Dating
What if..,4.7,684451,11/14/2019,29000000,5000000,2.5.0,4.1 and up,Casual
Hidden Object Peaceful Places - Seek & Find,4.4,2292,2/14/2020,1000000,100000,Varies with device,4.1 and up,Casual
Free Merge Car - Popular Casual Idle Games,4.8,1055,4/17/2020,39000000,5000,1.1.3,4.1 and up,Casual
Onet Animal Free - Classic Casual Puzzle Line Game,4.8,838,3/20/2020,16000000,5000,1.3,4.1 and up,Casual
Axe Hit Champ – Free Popular Casual Shooting games,4.8,960,4/16/2020,34000000,5000,6,4.4 and up,Casual
Pickable - Casual dating to chat and meet,3.3,7556,04-10-2020,19000000,100000,1.3.8,5.0 and up,Dating
Casual 4 - Casual Arena,4.4,96,4/22/2020,38000000,10000,5.2.12,4.4 and up,Board
Word Search Link - Free Puzzle Casual Game,4.8,883,1/14/2020,22000000,1000,1.0.2,4.1 and up,Puzzle
Women's casual fashion style,4.1,55,5/18/2019,6000000,10000,1.0.4,2.3 and up,Lifestyle
Hily – Dating App to Meet New People & Find Dates,4.2,75958,04-07-2020,30000000,5000000,3.0.2.3,5.0 and up,Dating
Dragon Trader - Casual RPG,4.1,1348,1/25/2020,1000000,50000,Varies with device,Varies with device,Role Playing
Find Me A Freak  Casual Free Dating App for Adults,3.1,2619,1/29/2020,1000000,1000000,Varies with device,Varies with device,Dating
Connect - free colorful casual games,4.2,313,04-12-2020,6500000,50000,v1.3.47,4.1 and up,Casual
Third Grade Learning Games,3.8,6768,04-02-2020,56000000,1000000,4.3,4.0.3 and up,Educational
"BabyFirst: Education Songs, Games & TV for Kids",3.6,6477,1/16/2020,76000000,1000000,5.0.1,4.4 and up,Education
Colors & Shapes - Kids Learn Color and Shape,4.5,4270,3/31/2020,40000000,1000000,1.2.1,4.1 and up,Educational
Otsimo | Special Education Autism Learning Games,4,565,4/16/2020,1000000,50000,6.8.200416,6.0 and up,Education
Little Panda Math Genius - Education Game For Kids,4.3,8387,1/22/2020,36000000,5000000,8.36.00.06,4.2 and up,Educational
Educational Games. Spell,3.7,564,04-11-2020,15000000,500000,2.4,4.0.3 and up,Educational
LetterSchool - Learn to Write ABC Games for Kids,4,10409,4/14/2020,74000000,1000000,2.2.3,4.1 and up,Educational
"PlayKids - Cartoons, Books and Educational Games",4.1,197021,04-03-2020,1000000,10000000,Varies with device,Varies with device,Entertainment
Second Grade Learning Games,3.8,3655,04-02-2020,63000000,1000000,4.4,4.0.3 and up,Educational
Kids Educational Game Free,4.4,37630,2/25/2020,26000000,5000000,4.2,4.4 and up,Educational
Free Music: Unlimited for YouTube Stream Player,4.2,31317,04-12-2020,14000000,1000000,4.5.2,5.0 and up,Music & Audio
Free Music：offline mp3 No WiFi Music Download Free,4.4,10753,3/28/2020,13000000,1000000,1.0.9,4.1 and up,Music & Audio
Drum Pad Machine - Beat Maker & Music Maker,4.5,634301,3/13/2020,27000000,50000000,2.7.0,4.1 and up,Music & Audio
My Music Player,4.3,5951,3/19/2020,7900000,1000000,1.0.14,4.1 and up,Music & Audio
Free Jigsaw Puzzles,4.3,940,07-08-2019,43000000,100000,2,4.0 and up,Puzzle
Puzzle 100 Doors - Room escape,4.2,54715,03-11-2020,49000000,5000000,1.3.0,4.1 and up,Puzzle
Block Puzzle & Conquer,4.5,403015,4/23/2020,11000000,10000000,19.5,4.1 and up,Puzzle
Kids Puzzles,3.8,1585,2/27/2020,33000000,1000000,1.6.11,4.0.3 and up,Puzzle
MechBox: The Ultimate Puzzle Box,4,60444,03-11-2020,30000000,1000000,10.3.11,4.0 and up,Puzzle
Word Search Puzzle,4.4,49093,01-11-2020,19000000,1000000,2.20.2,4.1 and up,Word
Hexa Jigsaw Puzzle ®,4.2,21175,4/21/2020,1000000,5000000,32.01,4.1 and up,Puzzle
Mini Racing Adventures,4.3,243422,4/22/2020,83000000,10000000,1.21.7,4.1 and up,Racing
CarX Drift Racing 2,4.4,133936,04-09-2020,65000000,5000000,1.8.2,5.0 and up,Racing
Top Speed 2: Drag Rivals & Nitro Racing,4.5,28982,3/13/2020,1000000,1000000,1.01.6,4.3 and up,Racing
Racing Classics PRO: Drag Race & Real Speed,4.4,12114,07-01-2019,1000000,1000000,1.02.3,4.1 and up,Racing
Drag Racing: Streets,4.3,149739,04-03-2020,76000000,1000000,2.7.6,4.1 and up,Racing
Road Racing: Highway Car Chase,4,11612,4/23/2020,1000000,1000000,1.04,4.0.3 and up,Racing
Angel Stone RPG,4.2,81309,5/17/2019,40000000,1000000,5.3.2,4.4 and up,Role Playing
Dragon Raja,4.2,99201,04-06-2020,66000000,1000000,1.0.58,5.0 and up,Role Playing
RPG Machine Knight,4.5,87251,1/16/2020,1000000,1000000,Varies with device,Varies with device,Role Playing
Choice Game Library: Delight Games,4.8,70554,4/23/2020,22000000,1000000,7.2,4.0 and up,Role Playing
Flirt City,4.3,49393,04-04-2017,34000000,1000000,2.6.25,4.0.3 and up,Role Playing
Era Origin,4.4,12874,9/29/2019,52000000,100000,1.0.12,4.0.3 and up,Role Playing
Rogue's Choice: Choices Game RPG,4.6,6816,4/23/2020,18000000,100000,5.3,4.0 and up,Role Playing
Role Playing Forums,2.9,1057,2/29/2020,7400000,10000,4.2.3,5.0 and up,Social
Moonshades: a dungeon crawler RPG,4.7,21048,4/13/2020,83000000,500000,1.2,4.1 and up,Role Playing
Citampi Stories: Offline Love and Life Sim RPG,4.5,21209,3/18/2020,102000000,100000,1.68.8r,4.1 and up,Role Playing
TALION,3.9,78055,04-06-2020,94000000,1000000,2.9.30,4.2 and up,Role Playing
RPG Elemental Knights R (MMO),3.9,21946,3/25/2020,83000000,1000000,4.4.9,4.1 and up,Role Playing
RPG Master Sounds Mixer Medieval Edition,4.6,699,3/26/2020,88000000,10000,2.0.0,4.4 and up,Role Playing
RPG Glorious Savior,4.4,9787,03-03-2016,46000000,100000,1.1.1g,4.0 and up,Role Playing
Blade & Wings: 3D Fantasy Anime of Fate & Legends,4.6,195174,01-09-2020,89000000,1000000,2.0.2.1909021120.74,4.2 and up,Role Playing
Kingdom Quest Crimson Warden 3D RPG,4.3,18199,6/21/2019,93000000,500000,1.25,4.1 and up,Role Playing
Demon's Choice: Choices Game RPG,4.5,1862,11-08-2019,13000000,50000,3.5,5.0 and up,Role Playing
TORN,3.9,4403,03-12-2020,19000000,100000,0.3.10,4.4 and up,Role Playing
Spaceflight Simulator,4.2,147772,09-09-2018,32000000,10000000,1.4.06,4.1 and up,Simulation
"LifeSim: Life Simulator, Casino and Business Games",4.3,14839,1/14/2020,91000000,1000000,1.3.6,6.0 and up,Simulation
Dog Simulator,4.6,274464,7/30/2019,1000000,5000000,2.2.3,4.1 and up,Simulation
Magnum 3.0 Gun Custom Simulator,4.3,21372,4/22/2020,46000000,1000000,1.0486,4.0.3 and up,Simulation
Drive Simulator,4.1,184724,2/25/2020,55000000,10000000,4,4.4 and up,Simulation
Fluid Simulation & Magic Fluids,2.7,262,04-01-2020,41000000,10000,1.27,6.0 and up,Personalization
Blendy! - Juicy Simulation,3.5,30317,4/21/2020,52000000,10000000,1.2.3,5.0 and up,Simulation
Simulife - Life Simulator Games,3.9,6221,4/14/2020,32000000,100000,1.64.2,5.0 and up,Entertainment
Squirrel Simulator,4,80986,7/21/2017,48000000,5000000,2.03,4.1 and up,Simulation
Cat Simulator - Animal Life,4.3,6000,04-10-2020,96000000,500000,1.0.0.5,4.2 and up,Simulation
Life Simulator,3.6,5696,12/15/2019,10000000,100000,1.2.6,4.1 and up,Simulation
fuboTV: Watch Live Sports & TV,2.8,5,4/23/2020,36000000,100000,4.29.1,5.0 and up,Sports
Sports Tracker Running Cycling,4.5,217045,4/22/2020,1000000,10000000,Varies with device,Varies with device,Health & Fitness
CBS Sports Fantasy,3.5,46883,4/23/2020,45000000,1000000,4.10.0+200421,5.0 and up,Sports
BBC Sport,4.5,24540,07-08-2019,1000000,1000000,Varies with device,Varies with device,Sports
"DAZN Live Fight Sports: Boxing, MMA & More",3.8,146595,4/23/2020,1000000,10000000,Varies with device,Varies with device,Sports
BIG WIN Football 2019: Fantasy Sports Game,4,32624,2/19/2020,1000000,1000000,1.3.8,4.1 and up,Sports
EA SPORTS UFC®,4.4,2827970,09-06-2019,41000000,50000000,1.9.3786573,4.0.3 and up,Sports
MLB Tap Sports Baseball 2020,4,16650,3/26/2020,110000000,1000000,1.0.3,5.0 and up,Sports
Yoho Sports,3.5,61379,4/23/2020,12000000,10000000,20.35.69,4.4 and up,Health & Fitness
Ketchapp Summer Sports,4,19809,04-08-2020,35000000,1000000,2.1.6,4.1 and up,Sports
Space Front: turn based strategy and tactics game,4.3,673,3/18/2020,85000000,10000,1.2,4.1 and up,Strategy
Second World War: Western Front Strategy game,4.1,1062,12-02-2019,21000000,100000,2.96,5.1 and up,Strategy
Second World War: real time strategy game!,4.2,14505,12/23/2019,21000000,500000,2.98,5.1 and up,Strategy
Age of Colonization: Economic strategy,3.6,5204,3/18/2020,74000000,100000,1.0.27,4.2 and up,Strategy
Supremacy 1914 - Real Time Grand Strategy Game,4.1,14372,4/22/2020,19000000,500000,0.68,5.0 and up,Strategy
Realm Defense: Epic Tower Defense Strategy Game,4.6,397527,4/13/2020,92000000,5000000,2.5.6,4.1 and up,Strategy
Trivia Quiz Get Rich - Fun Questions Game,4.3,20012,4/13/2020,11000000,1000000,3.42,4.3 and up,Trivia
TRIVIA STAR - Free Trivia Games Offline App,4.9,1237,4/22/2020,53000000,100000,1.107,4.1 and up,Trivia
Quiz of Knowledge 2020 - Free game,4.4,31124,03-04-2020,13000000,5000000,1.58,4.1 and up,Trivia
General Knowledge Trivia Quiz: Test Your Knowledge,4.2,219,3/31/2020,7500000,10000,1.18,4.2 and up,Education
Trivia Quiz 2020 -  Free Game. Questions & Answers,4.4,33220,4/23/2020,25000000,5000000,1.4.7.6,4.1 and up,Trivia
Quizdom - Trivia more than logo quiz!,4.4,331245,4/21/2020,96000000,10000000,1.6.0,4.4 and up,Trivia
"94% - Quiz, Trivia & Logic",4.6,2582882,4/21/2020,1000000,10000000,Varies with device,Varies with device,Trivia
Crossword Jam,4.7,143652,4/23/2020,48000000,1000000,1.226.0,5.0 and up,Word
Words,4.4,123593,2/21/2019,8000000,10000000,1.0.17,2.0 and up,Puzzle
Word Search - A free game with infinite puzzles,4.4,99870,4/15/2020,9900000,10000000,4.3.1,4.1 and up,Word
Word Search Games - Puzzle Line Game Free,4.9,619,02-04-2020,22000000,1000,1.0.2,4.1 and up,Puzzle
Word Puzzle Free - Word Blocks Connect Games,4.8,465,04-12-2020,92000000,1000,1.3,4.4 and up,Word
Classic Words Solo,4.4,159437,4/20/2020,1000000,5000000,Varies with device,Varies with device,Word
Word Beach: Fun Relaxing Word Search Puzzle Games,4.6,24233,4/20/2020,51000000,1000000,2.01.14.02,4.1 and up,Word
Pressed For Words,4.2,15584,1/25/2020,1000000,1000000,Varies with device,Varies with device,Word
Word Connect : Word Search Games,4.6,11521,4/14/2020,42000000,500000,6.1,4.1 and up,Word
Make Words,4.4,11024,04-02-2020,12000000,500000,5.3,4.1 and up,Word
Crossy Scapes 2020,4.8,1520,03-04-2020,30000000,50000,1.3,4.2 and up,Word
Wordscapes In Bloom,4.8,55284,4/22/2020,98000000,1000000,1.3.1,4.1 and up,Word
"Word Office Viewer : Docx Reader, PDF and Excel",3.9,4433,3/28/2020,57000000,1000000,1.3.166,4.1 and up,Productivity
Kids Games free 4 years old,4.2,3313,04-06-2020,24000000,1000000,5.22.020,4.2 and up,Educational
Cooking Games for Kids and Toddlers - Free,4.7,1011,04-01-2020,25000000,100000,1.7,3.0 and up,Educational
Kids puzzles,4.6,1591,2/19/2020,54000000,500000,1.101,4.1 and up,Educational
Kids Fun Game: Educational games for kids,4.5,133,08-09-2019,21000000,100000,1.4,4.1 and up,Educational
World of Peppa Pig – Kids Learning Games & Videos,3.8,6408,04-08-2020,163000000,1000000,2.8.0,4.4 and up,Educational
"App For Children - Kids games 1, 2, 3, 4 years old",3.6,421,11/30/2016,50000000,500000,1.03,2.3 and up,Education
Kids Dino Adventure Game - Free Game for Children,4.1,26168,10/29/2019,17000000,10000000,24.5,4.0.3 and up,Casual
Preschool Learning Games : Fun Games for Kids,4.2,8586,4/21/2020,1000000,1000000,6.0.7.2,4.2 and up,Educational
Toddler Learning Games - Little Kids Games,3.9,1139,04-07-2020,1000000,500000,3.7.4.4,4.2 and up,Educational
Fun For Toddlers - Free games for kids 1-5 years,3.9,208,11/23/2017,59000000,100000,1.03,4.0 and up,Education
First Words for Baby,4.2,6969,8/19/2019,17000000,1000000,2.3,4.1 and up,Educational
Kids Balloon Pop Game Free 🎈,4.3,50731,10/22/2019,17000000,10000000,24.2,4.0.3 and up,Casual
Free car game for kids and toddlers - Fun racing,3.8,714,1/29/2020,50000000,500000,1.2,4.0 and up,Educational
Flashcards Toddler Games for 2 and 3 Year Olds👦👧,4,173,04-04-2020,39000000,50000,11,2.2 and up,Education
Car game for toddlers: kids cars racing games,3.9,2318,10-11-2019,69000000,1000000,2.6.0,4.4 and up,Educational
Car games for kids ~ toddlers game for 3 year olds,4.1,657,2/13/2020,77000000,500000,2.9.0,4.4 and up,Educational
Balloon Pop Kids Learning Game Free for babies,4.2,3892,8/30/2019,1000000,1000000,9,4.4 and up,Educational
Kids learning games for girls & boys 2-4 years old,3.9,57,06-01-2019,55000000,50000,1.0.0,4.1 and up,Educational
Fun Kids Planes Game,4.1,955,9/21/2019,35000000,1000000,1.0.8,4.0.3 and up,Educational
Shapes and Colors – Kids games for toddlers,4.3,12117,1/29/2020,38000000,1000000,2.25,4.1 and up,Educational
Funny Food educational games for kids toddlers,4.3,33727,12-09-2019,50000000,10000000,1.9.0.51,4.1 and up,Educational
Kids Construction Game: Educational games for kids,3.8,2029,08-09-2019,15000000,1000000,1.6,4.1 and up,Educational
Toddler Learning Games for 2-5 Year Olds,4.3,952,02-04-2020,19000000,50000,1.14,4.1 and up,Educational
123 Numbers Tracing & Counting Game for Kids,4.1,856,3/15/2020,9700000,1000000,10,2.2 and up,Education
Kids Painting (Lite),4,6926,2/25/2019,1000000,1000000,2.1.8,4.0.3 and up,Educational
JumpStart Academy Kindergarten,3.6,238,10/24/2019,53000000,100000,1.7.0,4.4 and up,Educational
The Cinderella - Story Games For Girls,4.3,59854,1/13/2020,41000000,1000000,2.1.0,4.4 and up,Educational
"Math for kids: numbers, counting, math games",4.3,449,3/26/2020,1000000,100000,Varies with device,Varies with device,Educational
Girls Nail Salon - Manicure games for kids,4,374,4/20/2020,35000000,100000,1.07,4.1 and up,Educational
Story Books For Kids & Parents,4.1,7354,11-10-2019,38000000,1000000,3.5,4.0 and up,Educational
English for Kids: Learn & Play,4.2,2598,1/23/2020,67000000,500000,3.2,4.1 and up,Educational
HOMER - Proven Learn-to-Read Program for Kids 2-8,2.9,2371,4/22/2020,47000000,1000000,2.1.5,5.0 and up,Education
Book Dash - Free Kids Books,4.2,869,12/21/2019,4600000,100000,2.8.0,4.1 and up,Education
ABC Tracing & Phonics for Preschoolers & Kids Game,4,1364,1/23/2020,12000000,1000000,18,2.2 and up,Education
Kids Fun Learning - Educational Cool Math Games,4,31,04-06-2020,1000000,10000,1.0.1.1,4.2 and up,Educational
Unicorn Chef: Baking! Cooking Games for Girls,4.2,743,4/17/2020,53000000,100000,1.4,4.1 and up,Educational
Multiplication Kids - Math Multiplication Tables,4,1126,01-09-2020,33000000,1000000,1.0.9,4.1 and up,Educational
Makeup Girls - Prom dress up games for kids,3.9,195,01-12-2020,67000000,100000,1.09,4.1 and up,Casual
Fifth Grade Learning Games,3.4,5283,04-02-2020,51000000,500000,4.3,4.0.3 and up,Educational
Makeup Girls - Unicorn dress up games for kids,3.6,220,4/22/2020,52000000,50000,1.09,4.1 and up,Casual
My First High School Crush - Dress Up & Love Story,3.6,141558,8/26/2019,77000000,10000000,1.0.9,4.4 and up,Casual
Makeup Girls - Star dress up games for kids,3.3,186,01-12-2020,64000000,50000,1.07,4.1 and up,Casual
Truth Or Dare Kids,3.7,7301,04-03-2020,10000000,1000000,5.1.0,4.1 and up,Casual
Makeup Girls - Wedding dress up games for kids,4,7342,4/22/2020,25000000,1000000,3.21,4.1 and up,Educational
Truth Or Dare,3.7,67203,3/27/2020,11000000,10000000,10.2.1,4.1 and up,Casual
ATM Simulator Virtual Bank Cashier Free Kids Game,3.6,1089,1/25/2020,27000000,100000,2.2,4.1 and up,Educational
Girls Hair Salon Unicorn - Hairstyle kids games,3.6,2183,4/21/2020,20000000,500000,1.06,4.1 and up,Educational
TutoPLAY - Best Kids Games in 1 App,3.6,14996,7/29/2019,33000000,1000000,3.4.110,4.4 and up,Educational
Survivors: The Quest,4.3,332755,03-03-2020,93000000,1000000,1.14.1100,4.1 and up,Adventure
On My Own,3.9,48111,5/20/2016,50000000,1000000,2.2,4.0 and up,Adventure
Rescue Patrol Adventures: Action Games,4.5,998,10-03-2019,53000000,500000,1.0.7,4.1 and up,Arcade
Utopia: Origin Play in Your Way,3.7,75770,4/14/2020,51000000,5000000,2.0.2,4.0.3 and up,Adventure
Addams Family: Mystery Mansion - The Horror House!,4,18341,04-03-2020,65000000,1000000,0.1.5,4.4 and up,Simulation
Super Pionero - Adventures of the King´s scout,4.6,455,4/17/2020,31000000,50000,4.4.7,4.1 and up,Adventure
The Lone Survivor - Adventure Games & Mystery,3.2,488,8/26/2018,71000000,50000,1.3,4.1 and up,Adventure
Dog Sim Online: Raise a Family,4.1,146637,1/25/2019,73000000,10000000,9.1,4.0.3 and up,Simulation
Survival Island Wild Escape : Survivor Adventure,3.5,37936,03-05-2020,1000000,5000000,1.1.2,4.2 and up,Action
The Survival: Island adventure 3D,3.1,1928,1/25/2020,49000000,100000,1.1,4.1 and up,Adventure
Virtual Mother Working Mom Family Simulator,3.4,6612,4/23/2020,42000000,500000,1.8,4.1 and up,Adventure
Homicide Squad: New York Cases,4.5,125512,04-02-2020,122000000,1000000,2.26.3102,4.0.3 and up,Adventure
Mark's World: Super Adventure Games 2020,4.5,117,03-04-2020,52000000,10000,1.0.9,4.1 and up,Adventure
Dog Family Simulator - Virtual Game 2019,3.4,161,3/30/2020,33000000,50000,1.3,4.1 and up,Adventure
Jungle world adventure 2019 – super boy running,3.9,130,9/19/2019,16000000,10000,9,4.0 and up,Adventure
Grand Action Real Gangster: Survival Games,3.3,186,7/23/2019,71000000,50000,1.7,4.1 and up,Adventure
Virtual Mother Happy Housewife Family Game,2.6,908,12/17/2019,78000000,100000,1,4.1 and up,Adventure
The Island Castaway: Lost World®,4.3,221173,1/29/2018,22000000,1000000,1.6.601,4.0.3 and up,Adventure
Mysteries and Nightmares: Morgiana Adventure game,4.3,6264,9/19/2016,46000000,100000,1.2.2,4.0 and up,Adventure
Family Guy The Quest for Stuff,3.9,1004981,4/20/2020,1000000,10000000,2.3.3,5.0 and up,Adventure
Family Island™ - Farm game adventure,4.4,144460,04-08-2020,110000000,5000000,202005.1.6898,4.1 and up,Casual
Stormhill Mystery: Family Shadows,3.9,1551,07-12-2019,15000000,100000,1.1,4.1 and up,Adventure
Wrecked (Island Survival Sim),4,33827,6/28/2019,52000000,1000000,1.13,4.0 and up,Adventure
Survival Island: EVO 2,3.9,209685,09-06-2019,98000000,10000000,3.247,4.1 and up,Adventure
The Lion Simulator: Animal Family Game,4.5,2446,3/20/2020,40000000,500000,1,5.0 and up,Role Playing
Working Mom Newspaper Girl Family Game,3.3,5641,2/15/2020,44000000,1000000,1.15,4.1 and up,Adventure
Virtual Police Dad Simulator : Happy Family Games,3.2,3516,9/18/2019,74000000,500000,1.0.21,4.1 and up,Adventure
New World: Castaway Paradise,4.6,50141,08-08-2019,60000000,1000000,2.2.9,4.0.3 and up,Adventure
Smart Riddles - Brain Teaser word game,3.8,138,3/25/2020,6700000,10000,1.0.7,4.1 and up,Trivia
Family's Game Travel Pack,4.1,13291,4/14/2020,8900000,1000000,1.985,4.1 and up,Board
Brain Quiz 3D - Mind Blown Puzzles,4.2,849,02-03-2020,51000000,10000,2.06,4.1 and up,Puzzle
Brain Games 2,4,1183,1/19/2020,7000000,100000,2.6,4.1 and up,Puzzle
Frog Puzzle 🐸 Logic Puzzles & Brain Training,4.8,4076,4/19/2020,22000000,50000,5.6.2,4.4 and up,Puzzle
Puxers - The fun brain game,4.1,746,10-05-2016,41000000,10000,5.5.5,4.0.3 and up,Puzzle
Pictoword: Fun Word Games & Offline Brain Game,4.3,395235,4/15/2020,85000000,10000000,1.10.7.1,4.1 and up,Word
Pictoword Family: Fun Offline Word & Brain Games,4.2,56,12/18/2019,62000000,10000,1.0.0,4.1 and up,Education
Just Riddles,4.4,30649,10/21/2019,14000000,1000000,1.0.27,4.1 and up,Word
Brainia :  Brain Training Games For The Mind,4.2,730,5/19/2018,16000000,50000,2.1.0,4.2 and up,Puzzle
"Math Exercises for the brain, Math Riddles, Puzzle",4.4,65420,04-11-2020,1000000,5000000,Varies with device,Varies with device,Educational
Brain Games Mind IQ Test - Trivia Quiz Memory,4.1,537,03-10-2020,27000000,10000,1.9,4.0 and up,Trivia
FamilySearch Tree,4.5,27851,4/23/2020,24000000,1000000,3.5.0,5.0 and up,Books & Reference
Family Locator - GPS Tracker & Find Your Phone App,3.8,47118,3/30/2020,33000000,1000000,5.9.2,4.1 and up,Travel & Local
Family Image collage maker,4.8,6585,10/15/2019,42000000,100000,1.3,4.1 and up,Photography
FamilySearch Memories,4.6,2963,4/23/2020,11000000,100000,3.5.0,5.0 and up,Books & Reference
Cozi Family Organizer,4.4,66288,2/24/2020,16000000,1000000,9.3.6074,4.1 and up,Productivity
Family Organizer by Picniic,3.1,957,12/24/2019,78000000,50000,1.89,4.3 and up,Productivity
Crayola Scribble Scrubbie Pets,4.2,1773,2/13/2020,36000000,500000,1.5,4.4 and up,Casual
Safe Family – Screen Time & Parental Control App,2.5,3125,7/23/2019,19000000,1000000,2.8.0.10017,4.4 and up,Productivity
Family Yards: Memories Album,4.4,88159,11/22/2018,90000000,1000000,1.8.1,4.1 and up,Puzzle
Calendar - Family Organizer,3.6,201,11/30/2018,32000000,50000,1.0.1,6.0 and up,Lifestyle
Coloring Book for family,4.3,49754,3/31/2020,42000000,5000000,3.0.10,4.1 and up,Casual
Crayola Create & Play: Coloring & Learning Games,3.3,2286,02-10-2020,47000000,500000,1.26,4.1 and up,Educational
Google Family Link for children & teens,1.7,48068,04-07-2020,3800000,5000000,flh.release.1.31.0.M.304700133,5.0 and up,Tools
Virtual Step Dad Simulator: New Family Life Games,3.8,502,11-04-2019,43000000,50000,1.02,5.0 and up,Simulation
Virtual Mother Baby Quadruplets Family Simulator,2.6,502,03-09-2020,1000000,100000,1.0.3,4.2 and up,Role Playing
Family Tree Photo Collage Maker,4.5,131,7/27/2019,4800000,10000,3,4.1 and up,Photography
ZooCraft: Animal Family,4.5,392349,04-09-2020,87000000,10000000,7.3.3,4.4 and up,Simulation
Family Quotes,4.4,30,9/30/2018,20000000,10000,1,4.0.3 and up,Books & Reference
Quick Family Tree,3.7,1598,8/22/2019,39000000,100000,1.6.9,4.4 and up,Lifestyle
"Poems For All Occasions - Love, Family & Friends",4.6,12585,4/22/2020,14000000,1000000,8.5,4.1 and up,Entertainment
Family Nanny Mom’s Helper Mother Simulator,3.3,498,03-12-2020,39000000,100000,1.1,4.1 and up,Adventure
Hot Potato: Family Party Game,2.9,121,9/20/2019,6600000,50000,3,4.1 and up,Board
Family Nest: Family Relics,4.3,4912,04-01-2020,1000000,50000,1.077,4.1 and up,Simulation
Hopster: Preschool Kids Learning Games & Safe TV,3.7,789,4/17/2020,76000000,100000,3.47.27,4.4 and up,Entertainment
"TinyTap - Educational Games for Kids, by Teachers.",3.9,2251,4/20/2020,36000000,500000,3.2.8,4.4 and up,Education
Toddler Kids Puzzles PUZZINGO,4.6,14730,3/25/2020,41000000,1000000,7.64,4.0.3 and up,Education
Google Family Link for parents,4.4,426930,4/21/2020,1000000,10000000,Varies with device,Varies with device,Tools
"Baby Games for 2,3,4 year old toddlers",4.6,23711,04-08-2020,50000000,500000,6.2,4.4 and up,Educational
HelloJoey by Parent Lab - Parenting App for 0-12,4.7,573,11/27/2019,25000000,100000,1.6.1,4.4 and up,Education
Seesaw Parent & Family,4.2,17579,4/17/2020,1000000,1000000,7.0.8,5.0 and up,Education
PBS Parents Play & Learn,4.1,2032,08-12-2016,64000000,500000,3.5.4,2.3 and up,Education
Play and Learn Science,4,602,10/22/2018,94000000,100000,2.0.0,4.4 and up,Educational
Educational games for baby's and parents,4.4,155,12-06-2018,53000000,50000,1.0.8,4.0 and up,Educational
FamilyKeeper - Parent,3.6,98,4/22/2020,8000000,10000,FK-6.4.3,5.0 and up,Parenting
KIDOZ: Safe Play with Free Games for Kids,3.6,17364,02-03-2020,17000000,1000000,4.0.7.1,4.2 and up,Entertainment
Family Trivia Free,4,807,3/30/2016,23000000,100000,1.6.3,2.3 and up,Trivia
Kids Place - Parental Control,4.2,36431,4/23/2020,1000000,5000000,Varies with device,Varies with device,Entertainment
Music Choice: TV Music Channels On The Go,3.6,10370,03-09-2020,12000000,1000000,7.0.003,5.0 and up,Music & Audio
Movie Maker With Music : Photo to Video Maker,3.9,27058,8/23/2019,19000000,1000000,1.12,4.1 and up,Video Players & Editors
Add music to video 🎵 background music for videos,4.1,660,4/17/2020,19000000,100000,1.11.0,5.1 and up,Music & Audio
Free music - Free Music Player (Musinow): DADO,4.5,413,4/21/2020,7100000,10000,4.2,5.0 and up,Music & Audio
Kids Videos and Songs,3.7,253,3/18/2020,10000000,100000,2.0.0,4.3 and up,Parenting
Photo Slideshow With Music,4.2,59981,04-08-2020,15000000,10000000,v4.9.9,4.1 and up,Video Players & Editors
Free Music Video TV Show Film,3.8,9489,04-01-2020,7600000,1000000,3.6,4.1 and up,Music & Audio
Add Music To Video - Video Cutter & Slow motion,4.4,4407,02-10-2020,14000000,1000000,3.1,4.1 and up,Video Players & Editors
Music Old Town Road - Offline - Free,4.3,436,12/19/2019,10000000,100000,2.1.0,4.1 and up,Music & Audio
Magic Video Editor - Photo With Music Maker,4.4,233,04-08-2020,21000000,10000,1.11,4.3 and up,Video Players & Editors
DisneyNOW – Episodes & Live TV,4.3,119242,03-12-2020,1000000,10000000,Varies with device,5.0 and up,Entertainment
PIP Video Maker - Photo Video Maker with Music,3.8,257,9/14/2019,30000000,50000,1,4.4 and up,Video Players & Editors
Finger Family Video Songs - World Finger Family,4.3,390,12/16/2019,25000000,500000,1.23,4.1 and up,Education
Floating Tunes-Free Music Video Player,4.3,34344,2/13/2020,9900000,5000000,3.5.0,5.0 and up,Video Players & Editors
PBS KIDS Video,4.4,40044,4/17/2020,1000000,10000000,3.4.2,Varies with device,Education
FREE Music App(Download Now) & Podcast Downloader!,4.7,77613,4/22/2020,1000000,5000000,Varies with device,Varies with device,Music & Audio
Music Video Maker,3.9,4533,06-10-2019,43000000,500000,790,4.2 and up,Video Players & Editors
Photo + Music = Video,4.1,7790,08-11-2019,31000000,1000000,1.14,4.1 and up,Video Players & Editors
"Sweet Music-Music, Video, Album, List, Favourite",4.3,11717,12-11-2019,10000000,1000000,7.9.5,5.0 and up,Music & Audio
Magisto - Video Editor & Music Slideshow Maker,3.8,1053198,4/16/2020,81000000,50000000,4.60.0.20222,6.0 and up,Video Players & Editors
Video Maker With Music,4,9364,10/24/2019,71000000,1000000,3.5,4.3 and up,Video Players & Editors
